id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29548771,Historic Healy Home-Near Uptown/Downtown,194505452,Chris,,Hennepin,44.94549,-93.27442,Entire home/apt,307,2,97,2025-08-25,1.16,6,359,7,Exempt
29567114,Green Room-Historic Home* near Uptown/Downtown,194505452,Chris,,Hennepin,44.94756,-93.2733,Private room,61,1,278,2025-08-15,3.31,6,9,34,Exempt
29633471,Charming Linden Hills Condo,3022975,Janene,,Hennepin,44.92234,-93.31259,Entire home/apt,,30,5,2023-06-05,0.06,8,29,0,
29635089,Master Bedroom-Historic Home*Near Uptown/Downtown,194505452,Chris,,Hennepin,44.9455,-93.27274,Private room,53,1,253,2025-09-09,3.03,6,6,28,Exempt
29635233,Grey Room-Historic Home* Near Uptown/Downtown,194505452,Chris,,Hennepin,44.94601,-93.27287,Private room,,1,246,2025-08-08,2.93,6,0,11,Exempt
29643495,Lake Harriet Carriage House: Owned by Designer,120611149,Stacy,,Hennepin,44.91957,-93.29472,Entire home/apt,225,2,201,2025-09-22,2.40,1,324,31,STR-362423
29699871,Indoor Comforts & Outdoor Delights,200991029,Johana,,Hennepin,44.92864,-93.24057,Entire home/apt,133,1,159,2025-09-09,6.11,2,295,69,STR-409541
29850309,Cozy 2 BR Home in Perfect Twin Cities Location!,224500608,Michael,,Ramsey,44.93009,-93.15712,Entire home/apt,100,2,309,2025-09-18,3.76,1,329,49,
29927812,2-bedroom half block from Green Line Light Rail,23773995,Cameron,,Ramsey,44.95432,-93.17434,Entire home/apt,141,3,48,2025-09-05,0.58,1,280,13,20180004619
30042262,Comfortable two small bedroom in St.Paul. MN,129163228,Ru Zhao,,Ramsey,44.958248,-93.166649,Private room,288,1,27,2025-01-19,0.64,9,359,1,
30083871,Cozy home in Victory Pkwy!,183596203,DeEtte,,Hennepin,45.03407,-93.30964,Entire home/apt,155,2,36,2025-09-15,1.70,1,78,18,STR-411534
30087088,The Bohemian Inn,164215736,Cornell Sabrina,,Hennepin,44.92005,-93.28064,Private room,67,1,110,2025-09-01,1.38,1,365,14,Exempt
30087549,Ideal MPLS Home | Modern | Close to Everything,47931140,Richard,,Hennepin,44.99347,-93.23872,Entire home/apt,109,2,284,2025-09-02,3.53,3,230,26,STR-377080
30108023,Mod Flat in Victorian Home close to Downtown,26853071,Thomas,,Hennepin,44.96416,-93.27374,Entire home/apt,45,30,190,2025-08-31,2.28,3,103,8,STR-396756
30108547,Cozy St Paul duplex,172174565,Britta,,Ramsey,44.99338,-93.07545,Entire home/apt,95,3,66,2024-08-05,0.80,2,349,0,
30110033,SPACIOUS☆MINNEAPOLIS SUBURBS☆TWIN CITIES☆BY LAKES,156086062,Emily,,Carver,44.84631,-93.56701,Entire home/apt,411,2,149,2025-08-24,1.79,2,237,14,
30123982,Home / Cottage by the lake,158411295,Kim,,Ramsey,45.08097,-93.03471,Entire home/apt,140,5,12,2025-02-16,0.15,1,341,1,
30128289,Modern-Fast Wi-Fi-Parking-W/D-Tap Stays,76854623,Russell,,Hennepin,44.93778,-93.28473,Entire home/apt,128,30,110,2025-09-11,1.33,12,99,5,
30185788,Quiet Master Bedroom w/ Bath Near Lakes/Nature,183299208,Guang Hao,,Hennepin,44.81511,-93.38443,Private room,50,1,95,2025-09-02,1.27,4,243,19,
30274486,The Artsy Craftsman - Fitzgerald Room,28252451,Jessica,,Ramsey,44.9691,-93.17118,Private room,55,1,0,,,65,365,0,
30281721,*AC* | Private Deck | Best Eats in MSP | 100+ mbps,35248554,Spencer,,Hennepin,45.00306,-93.25919,Entire home/apt,135,3,247,2025-09-01,2.99,1,245,31,STR-374984
30343598,MOA-Great Wolf Lodge-Airport-Shopping-Free Parking,76854623,Russell,,Hennepin,44.88499,-93.25234,Entire home/apt,115,2,132,2025-09-15,1.67,12,162,14,
30346699,Pet friendly side by side duplex on a city park.,201022418,Deborah Marie,,Hennepin,45.18531,-93.39844,Entire home/apt,131,2,211,2025-09-21,2.60,1,241,22,
30371902,"Log Cabin, Lake Retreat",228022652,Robert,,St. Croix,45.06944,-92.64604,Entire home/apt,240,2,110,2025-08-31,1.34,1,239,14,
30381029,"Entire home near Afton, state parks, skiing, beach",82935267,Jill,,Washington,44.93005,-92.76862,Entire home/apt,127,2,277,2025-09-02,3.37,1,341,45,
30417782,The Artsy Craftsman (Earhart Room) Near Roseville,28252451,Jessica,,Ramsey,44.96757,-93.17308,Private room,43,2,18,2021-11-01,0.22,65,333,0,
30418588,Artsy Craftsman (Hemingway Room) Near Roseville,28252451,Jessica,,Ramsey,44.96829,-93.17166,Private room,39,7,28,2024-11-11,0.35,65,360,2,
30440839,Updated 2 BR 2 BA Townhome Minutes to Airport/Mall,211245500,Earnest,,Hennepin,44.86054,-93.25391,Entire home/apt,161,30,7,2025-08-15,0.09,1,231,3,
30443102,Cozy place close to Downtown Stillwater,132301832,Cheris,,Washington,45.03138,-92.80674,Entire home/apt,93,2,62,2025-05-21,0.76,5,165,5,
30464234,Cozy Northrop Bungalow,50528506,Adriane,,Hennepin,44.92337,-93.25055,Entire home/apt,276,2,146,2025-06-25,1.77,1,83,9,STR-374772
30526296,"Cozy, Private Bed and Bath in BIRDTOWN.",173190436,Scott,,Hennepin,45.01188,-93.32431,Private room,55,1,228,2025-08-25,2.75,1,258,35,
30530415,EAGLE HAVEN-Large Private Home Scenic  River Views,190427715,Kenneth Alfred,,Pierce,44.59001,-92.52807,Entire home/apt,600,2,39,2025-09-14,0.49,1,358,7,
30582778,Peaceful and Serene -The Sheridan House!,16149671,Mary,,Hennepin,44.88133,-93.31151,Entire home/apt,214,3,153,2025-04-20,1.86,4,73,6,
30711570,Separate Guest Quarters Private Entry Nice N/hood,28591362,Benjamin,,Ramsey,44.981194,-93.129868,Entire home/apt,51,21,52,2025-08-18,0.69,1,69,4,
30797071,Downtown Urban Safari ★ Convention Ctr ★ Stadium ★,57655643,Christopher John,,Hennepin,44.971405029296875,-93.26471710205078,Entire home/apt,74,2,303,2025-09-07,3.67,18,136,30,LIC-120999
30824123,Lake Pepin Overlook,230570243,Tracy,,Pierce,44.56081,-92.31077,Entire home/apt,111,2,111,2025-09-01,1.44,1,344,10,
30948927,Time to rejuvenate in a peaceful garden setting.,27215345,Timothy James,,Scott,44.665,-93.62196,Private room,55,1,30,2025-09-21,0.40,1,269,3,
31035043,Edina Executive Apartment - underground parking!,5283270,Lisa,,Hennepin,44.87952,-93.32096,Entire home/apt,,30,16,2025-05-23,0.20,23,0,3,
31043444,"Quirky 1 BR apt, Fireplace, Private entry, Laundry",575264511,Sarah,,Hennepin,44.98778,-93.24153,Entire home/apt,148,3,367,2025-09-21,4.48,5,257,10,LIC-134609
31121161,2024 US Amateur Golf Hazeltine - walking distance,232584300,Christopher,,Carver,44.81764,-93.58545,Entire home/apt,,5,4,2024-08-14,0.05,1,0,0,
31145416,"Bright 3-Bedroom Apt, Private entry, Full kitchen",575264511,Sarah,,Hennepin,44.98536,-93.24346,Entire home/apt,266,3,205,2025-09-07,2.59,5,254,12,LIC-134609
31213072,Modern Cozy Suite w/ Kitchen & Private Entrance,10625964,Emily,,Ramsey,45.06779,-93.00359,Entire home/apt,113,1,117,2025-09-13,2.99,1,316,40,
31223374,Everything Lake Mille Lacs has to offer @ Izatys!,233537043,Jay,,Mille Lacs,46.13491,-93.58494,Entire home/apt,225,3,95,2024-09-24,1.58,1,170,1,
31262851,"Great Cabin-like 15 Acres-Couples&Groups, dogs ok",233925849,Thomas Parsons,,Hennepin,45.19152,-93.59005,Entire home/apt,171,4,132,2025-09-14,1.64,1,134,11,
31357392,Classic Farmhouse Vibes,29890895,Gary,,Hennepin,44.94517,-93.23757,Entire home/apt,270,2,170,2025-09-21,2.19,1,28,18,STR-396844
31362989,Grand Living quiet spacious apartment,29226969,Marie,,Hennepin,44.94795,-93.28476,Entire home/apt,115,20,20,2025-05-04,0.31,9,172,3,STR-397060
31378787,Country Orchard Home,187877400,Tina,,Washington,45.15663,-92.79127,Entire home/apt,96,30,10,2025-08-29,0.13,1,279,2,
31401753,Radiant Riverfront Retreat,24760612,Cassie,,Dakota,44.84718,-93.01517,Entire home/apt,428,3,193,2025-08-24,2.44,1,337,22,
31402940,* >A Vintage Gem on Washburn Avenue w/Hot Tub*,134267734,Sasha,,Hennepin,45.02212,-93.31703,Entire home/apt,292,1,199,2025-06-30,2.52,7,363,12,STR-392444
31417971,Charming Minneapolis Longfellow Bungelow,120928371,Lindsey,,Hennepin,44.9318,-93.21989,Entire home/apt,,1,60,2024-08-25,0.74,1,0,0,STR-400700
31539993,Basement for rent,135088619,Chad,,Hennepin,45.1467,-93.42112,Private room,99,1,7,2019-08-05,0.09,1,358,0,
31668957,"Cozy apartment, steps from downtown St. Paul",4172713,Alexandra,,Ramsey,44.93818,-93.10987,Entire home/apt,,2,63,2025-08-17,0.78,1,0,7,
31686318,Casa de Barajas private room,30224582,Christine,,Hennepin,44.92544,-93.28843,Private room,44,5,50,2025-09-07,0.64,2,166,8,Exempt
31696598,The Perfect Valley Getaway,151954127,Andy,,Chisago,45.40586,-92.65382,Entire home/apt,235,2,85,2025-09-07,1.34,1,193,7,
31714732,Stay & Play- Prospect Park- Near Light Rail,20291423,Ronda,,Hennepin,44.96403,-93.21417,Entire home/apt,229,2,49,2025-09-01,0.62,1,314,21,STR-418892
31801021,Tree House on the St. Croix River,42914923,Abby,,St. Croix,44.87006,-92.76099,Entire home/apt,286,2,106,2025-09-14,1.31,1,331,49,
31837745,*Roomy Quiet Apartment* See Monthly Discount,174266817,Lynel,,Sherburne,45.44392,-94.00143,Entire home/apt,132,2,43,2025-09-07,0.54,21,180,6,
31851774,Contemporary Craftsman (Room 1),28252451,Jessica,,Ramsey,44.97674,-93.10878,Private room,35,7,23,2025-09-01,0.29,65,357,12,
31900092,Modern St Croix River Home with a view,239119493,Travis,,Washington,44.9729,-92.77056,Entire home/apt,345,1,84,2025-09-15,1.07,1,235,6,
31929389,Minneapolis Historical Alley Home #TreeHouse,26107979,Clint,,Hennepin,44.90712,-93.30562,Entire home/apt,,2,142,2025-09-21,3.45,1,250,36,STR-400590
31980770,Golden Valley  Home - private suite,83347578,William,,Hennepin,44.99827,-93.36635,Private room,210,2,16,2020-08-14,0.21,1,268,0,
32065601,"Upscale, Cozy, Fun Retreat in Maple Grove-Arbr Lks",239519785,Donald,,Hennepin,45.10438,-93.43888,Private room,63,1,322,2025-09-13,4.01,2,348,35,
32067359,Historic Home in the Heart of the City 2 story,575264511,Sarah,,Hennepin,44.98624,-93.24308,Entire home/apt,344,3,140,2025-08-26,1.74,5,225,8,LIC-134609
32137730,Downtown MPLS Eclectic Flat with Modern Upgrades!,223369493,Lion Rock,,Hennepin,44.96723,-93.26797,Entire home/apt,90,2,239,2025-09-21,2.98,1,104,23,STR-394971
32168401,Spacious garden level space. (No cleaning fee!),203951559,Bruce,,Hennepin,44.92202,-93.2843,Entire home/apt,70,1,379,2025-09-19,4.75,1,211,42,Exempt
32184731,Uptown - Cherry Hill Artist House,6663419,Carina,,Hennepin,44.95709,-93.28296,Entire home/apt,138,2,30,2024-08-15,0.38,1,202,0,LIC-404243
32187427,Walk To Falls | Close To Everything | Fenced Back,12446031,Andrew,,Hennepin,44.9209,-93.21402,Entire home/apt,113,2,225,2025-09-07,2.80,3,350,34,Str-380498
32232301,Entire Pleasant Mansion 9BR UT/DT By Lux Life,128893020,Anthony,,Hennepin,44.96035,-93.28138,Entire home/apt,857,3,72,2025-08-24,0.93,12,331,11,STR-146091
32240512,"Modern, cozy & convenient",91014502,Jennifer,,Hennepin,44.89978,-93.2834,Entire home/apt,166,3,186,2025-09-20,2.33,1,223,26,LIC-375480
32331622,"Historic Charm, Modern Comfort, Walk Everywhere!",1798214,Peter,,Hennepin,45.00089,-93.26199,Entire home/apt,70,30,143,2022-01-17,1.79,4,354,0,LIC-375437
32448177,End Apartments,206128600,Frank,,Hennepin,44.95422,-93.28242,Entire home/apt,217,30,0,,,1,269,0,
32610116,Lake Minnetonka Entire Home (2 homes in 1),94112954,Jackson,,Hennepin,44.94783,-93.65625,Entire home/apt,,7,1,2019-07-08,0.01,2,40,0,
32614971,"Two bedrooms, perfect for colleagues or family.",52889099,Katherine,,Ramsey,44.95988,-93.17311,Private room,124,1,8,2025-07-21,0.10,4,168,1,
32688995,Musik Haus - private guesthouse (w/Heated Garage!),35222097,Andrew,,Ramsey,44.92684,-93.00379,Entire home/apt,106,1,446,2025-09-14,6.18,2,345,56,
32744874,"The Carriage House, Aurora Staples Inn",98475572,Rachelle,,Washington,45.05836,-92.80971,Hotel room,291,1,36,2025-08-11,0.55,5,318,7,
32758641,"Fab Minneapolis Duplex- EZ park, close to UMN",52692189,Rebecca,,Hennepin,44.98776,-93.24889,Entire home/apt,99,30,139,2025-06-18,1.77,7,80,4,LIC-154022
32789128,Historic Loft- Top spot in Prescott,73101867,Jessica,,Pierce,44.74905,-92.80181,Entire home/apt,140,3,340,2025-08-17,4.36,1,333,27,
32902022,Private Room in a Comfty & Convenient Home by MSP,55560205,Ariana,,Ramsey,45.03324,-93.16466,Private room,71,1,3,2024-05-20,0.05,1,11,0,
32943160,One-Level Living! (N. St. Paul Home),223997819,Marilyn,,Ramsey,45.02567,-93.00151,Entire home/apt,117,2,124,2025-09-07,1.61,1,272,20,
32963415,"W7th Area w/Kitchen, AC, Free Parking",66969451,Jennifer,,Ramsey,44.92426,-93.13399,Entire home/apt,71,2,296,2025-09-22,4.23,1,219,71,20190003470
32963832,Retreat in the Minnesota River Valley,248087247,Jayne,,Carver,44.69596,-93.68808,Private room,68,1,129,2025-08-17,1.66,1,242,12,
32984937,Bright & Cheery Seward home,5439155,Brenda,,Hennepin,44.95542,-93.22903,Entire home/apt,119,30,57,2025-08-16,0.73,10,242,3,LIC-131241
33013567,Deluxe Queen at Erik's Retreat,248290300,Kathy Kae,,Hennepin,44.88959,-93.32092,Hotel room,150,1,42,2023-09-24,0.53,4,155,0,
33015395,Executive Queen at Erik's Retreat,248290300,Kathy Kae,,Hennepin,44.88905,-93.32088,Hotel room,,1,17,2024-06-16,0.22,4,154,0,
33015531,Longfellow Bungalow,11307443,Molly,,Hennepin,44.93233,-93.21392,Entire home/apt,131,3,145,2025-09-01,1.90,1,319,17,LIC-378814
33015703,Luxury Suite with Kitchen at Erik's Retreat,248290300,Kathy Kae,,Hennepin,44.88897492503687,-93.32045114114689,Hotel room,230,2,19,2025-06-21,0.25,4,358,2,
