id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14539067,"Pacific Grove, Pebble Beach, Carmel only 2-day min",85355446,Dimitra,,Pacific Grove,36.62533,-121.93089,Entire home/apt,176,2,370,2025-09-07,3.34,1,192,29,
15165034,No shared space! Guest suite! PGLic#0405,35048383,Angi,,Pacific Grove,36.60376,-121.92731,Entire home/apt,95,3,1116,2025-09-15,10.27,1,173,89,
15649395,Casa Mariposa - The Live-In Museum,100986890,Jon & Julie,,Pacific Grove,36.62003,-121.92591,Entire home/apt,230,30,36,2025-07-31,0.34,1,213,1,
15857785,Heart of PG Cottage (#0365),598237630,Roeya,,Pacific Grove,36.61916,-121.91824,Entire home/apt,307,3,520,2025-09-21,4.83,1,281,40,
15942471,Serene Retreat: Remodeled Home Near Everything,102438701,Lisa,,Pacific Grove,36.60083,-121.93155,Entire home/apt,245,30,67,2021-05-09,0.63,1,284,0,
16219492,Room inside apartment 10 min walk to beach,145662625,Alena,,Pacific Grove,36.617810198145875,-121.9174725562334,Private room,103,1,10,2025-09-01,2.08,1,31,10,
16542967,Lovers Point Beach House - 30 Steps to Beach #0125,99683621,Larry,,Pacific Grove,36.62447,-121.91658,Entire home/apt,510,2,118,2025-08-10,1.13,1,69,19,
16884158,Wake up to crashing waves!,58271767,Evelyn,,Pacific Grove,36.63600158691406,-121.9303207397461,Entire home/apt,364,30,129,2025-04-01,1.25,1,107,1,
17479137,"Pacific Grove Cottage, Entire House [30 days min]",118403797,John Joseph Ii,,Pacific Grove,36.62027,-121.9245,Entire home/apt,149,29,49,2025-08-29,0.47,1,117,1,
17623471,Pacific Grove Mid Century Near Beach,4591051,Dave & Lee,,Pacific Grove,36.62243,-121.92963,Entire home/apt,294,1,596,2025-09-28,5.76,3,302,99,
18731829,Monarch Garden Cottage (30 day rental),21807468,Suzanne,,Pacific Grove,36.61673,-121.90999,Entire home/apt,,31,69,2024-10-23,0.68,1,0,1,
18917071,Cozy Pacific Grove Post-Adobe Charmer 2/1 #0387,128301422,Carolyn,,Pacific Grove,36.60623550415039,-121.92169952392578,Entire home/apt,291,2,318,2025-09-22,3.13,3,172,40,
19137340,"Pacific Grove Willis House, Walk to Town and Beach",133766053,Chris,,Pacific Grove,36.61793,-121.92364,Entire home/apt,579,2,104,2025-09-01,1.03,1,44,7,
19606480,Mermaid's Delight,137859136,Therese,,Pacific Grove,36.62559,-121.91967,Entire home/apt,383,1,270,2025-09-21,2.71,1,261,25,
19736001,Furnished Studio/Cottage In Pacific Grove,1010770,Dolly,,Pacific Grove,36.61672,-121.92502,Entire home/apt,155,30,2,2022-08-21,0.05,1,332,0,
19789713,"Mermaid Beach House, Walk to Beach / Aquarium!",139737993,Thomas,,Pacific Grove,36.62603,-121.91822,Entire home/apt,725,2,393,2025-09-28,3.96,1,312,45,
19830907,Enjoy a month-long vacation this  September!,26564284,Julie,,Pacific Grove,36.62556,-121.92263,Entire home/apt,272,30,69,2020-03-15,0.70,1,152,0,
19910607,"""Mainstay Cottage"" Just Steps To Beach & Town!",85335077,Marci,,Pacific Grove,36.62439,-121.91942,Entire home/apt,604,3,173,2025-09-25,1.77,1,299,44,
20190642,Outback Bungalow,58388459,Michelle Frances,,Pacific Grove,36.62465,-121.91996,Entire home/apt,365,3,225,2025-09-15,2.45,2,347,21,
20229666,"3743 Pelican Peaks ~ Near Aquarium, Beach & Town",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.619986,-121.908223,Entire home/apt,522,1,52,2025-09-01,0.65,51,341,7,
20229669,"3746 The Guest House ~ Near Town, Beach, Aquarium",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.619588,-121.909283,Entire home/apt,164,30,6,2019-10-27,0.06,51,334,0,
20229673,3729 Ocean Park Sanctuary ~ Short Walk to the Bay,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.620008,-121.921036,Entire home/apt,272,30,8,2022-08-31,0.08,51,364,0,
20229676,3709 Lover's Point Beach Retreat ~ Ocean View,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.624292,-121.916738,Entire home/apt,,30,2,2018-10-08,0.02,51,0,0,
20229679,"3705 Oceanview Serenity ~ Oceanfront, Bay View",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.626947,-121.919538,Entire home/apt,,30,4,2022-05-31,0.04,51,1,0,
20229689,3704 Ship's Watch ~ Walk to Restaurants and Shops,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.620155,-121.921967,Entire home/apt,186,30,15,2025-07-31,0.16,51,274,1,
20229693,3715 Bliss by the Sea ~  Beach/Trails/Aquarium,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.618089,-121.910526,Entire home/apt,226,30,5,2020-03-10,0.05,51,184,0,
20229698,3703 La Gloria Cottage-by-the-Sea ~ Near the Beach,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.621795,-121.920669,Entire home/apt,266,30,7,2022-07-31,0.07,51,275,0,
20229711,"3263 Villa by the Sea ~ Newly Remodeled, Bay View",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.619973222135215,-121.907522708004,Entire home/apt,892,2,72,2025-04-26,0.73,51,331,4,
20229712,3646 Seashore Retreat ~ Walk to the Beach and Town,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62084,-121.915183,Entire home/apt,281,30,0,,,51,156,0,
20279454,Studio Blu in Pacific Grove,12030507,Brian,,Pacific Grove,36.61594,-121.91262,Entire home/apt,80,30,27,2025-09-03,0.27,1,203,6,
20404083,"3096 Sanctuary by the Bay, Remodeled, Bay View",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62000766639408,-121.9076326785736,Entire home/apt,240,30,9,2019-03-27,0.10,51,243,0,
20741678,3112 Lighthouse Sanctuary ~ Walk Everywhere!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.625796,-121.926611,Entire home/apt,538,30,3,2021-01-05,0.03,51,235,0,
21981955,Sunset Inn Pacific Grove,160495920,Rishi,,Pacific Grove,36.63018,-121.93234,Hotel room,319,1,320,2025-07-13,3.36,1,356,3,
22178195,Pacific Suite (PG License # 0420),162016726,George,,Pacific Grove,36.62051,-121.91453,Entire home/apt,252,1,485,2025-09-29,5.13,1,54,54,
22359257,Fairlawn Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62461,-121.91622,Private room,,1,147,2025-07-06,1.63,20,263,19,
22359614,Bellevue Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62355,-121.91491,Private room,748,1,7,2024-09-08,0.08,20,244,0,
22666758,The Perfect Getaway in Pacific Grove (Lic #0403),128301422,Carolyn,,Pacific Grove,36.60569,-121.92101,Entire home/apt,300,3,299,2025-09-08,3.22,3,196,27,
22747634,3759 Pacific Grove Retreat ~ 1 Block to Bay Trail,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.618918,-121.90869,Entire home/apt,339,30,1,2019-01-05,0.01,51,304,0,
23768786,Mermaid Crossing License #0473,110664679,Rhonda,,Pacific Grove,36.62678,-121.91914,Entire home/apt,,1,319,2025-04-27,3.51,2,0,27,
24059256,Forest Home on 1/4  Acre,181127429,Tamara,,Pacific Grove,36.61963,-121.93336,Entire home/apt,158,30,102,2025-06-10,1.19,2,178,3,
24773264,Monterey Peninsula Ideal Accommodation,72001105,Kat,,Pacific Grove,36.62156,-121.91825,Entire home/apt,180,5,0,,,1,328,0,
25281531,Rosedale Inn & Suites - King Suite,190984125,Aachal Archana,,Pacific Grove,36.61961,-121.93631,Hotel room,,1,28,2020-09-18,0.32,2,0,0,
26192700,Rocky Shores Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62409,-121.9165,Private room,718,1,16,2025-02-11,0.18,20,252,5,
26197786,Stevenson Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62344,-121.91516,Private room,638,1,49,2025-06-27,0.56,20,257,7,
26197911,Garden Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.6242,-121.91479,Private room,638,1,94,2025-09-09,1.12,20,272,22,
26198464,Di Blasi Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62296,-121.91641,Private room,658,1,12,2024-07-28,0.19,20,285,0,
26198705,Lovers Point Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62455,-121.91595,Private room,628,1,116,2025-08-26,1.35,20,256,22,
26468647,Sallie’s Cottage,43389940,Elizabeth,,Pacific Grove,36.62311,-121.91876,Entire home/apt,406,2,493,2025-09-23,5.59,1,229,70,
27092841,Charming house between downtown and the beach,6763862,Ashley,,Pacific Grove,36.62372,-121.91901,Entire home/apt,,30,12,2025-05-29,0.15,1,0,5,
31169667,Spectacular Award Winning Ocean Front 2 Bed 2 Bath,62428944,Jane,,Pacific Grove,36.62038268144633,-121.9069418932686,Entire home/apt,719,2,342,2025-09-07,4.18,1,193,45,
32237119,3118 Yellow House Main - Walk to the Aquarium!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.620371,-121.909139,Entire home/apt,742,4,22,2025-03-28,0.35,51,319,2,
33396484,Standard King Room,190984125,Aachal Archana,,Pacific Grove,36.61892,-121.93459,Hotel room,,1,25,2025-01-22,0.34,2,176,2,
34573235,Steinbeck Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62296,-121.91659,Private room,608,1,76,2025-06-23,1.04,20,260,4,
34573780,China Point Room - Seven Gables Inn,46785054,Seven Gables,,Pacific Grove,36.62349,-121.91625,Private room,638,1,18,2024-09-21,0.25,20,250,0,
35950153,BLOCKS FROM OCEAN -COZY QUEEN-A GETAWAY FOR TWO,270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,155,1,808,2025-07-15,10.65,10,167,44,
36006241,WALK TO OCEAN from our Premium KING BED ROOMS,270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,166,1,319,2025-09-26,4.20,10,164,29,
36006645,TEENY View of OCEAN-WALK to OCEAN - KING BEDROOM,270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,172,1,142,2025-08-03,1.87,10,167,6,
36007109,CROSS Ocean View from Balcony-RELAX-QUEEN BEDROOM,270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,166,1,148,2025-01-19,1.95,10,175,1,
36007581,WALK TO OCEAN- Queen bed with BONUS TWIN BED:),270423498,Pacific,,Pacific Grove,36.62012,-121.91887,Hotel room,,1,447,2025-07-14,5.98,10,0,43,
36008146,Blocks from Ocean - KING BEDROOM SUITE,270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,182,1,173,2025-09-14,2.28,10,159,24,
36045923,"Ocean Views,ROMANTIC QUEEN BEDROOM",270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,,1,37,2024-07-10,0.49,10,0,0,
36046495,"AMAZING OCEAN VIEWS - QUEEN, TWIN & LIVING ROOM",270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,,1,266,2025-06-11,3.51,10,0,36,
36046892,"WALK TO OCEAN, KING WITH TWO TWINS",270423498,Pacific,,Pacific Grove,36.61867,-121.91911,Hotel room,,1,221,2025-08-26,2.91,10,0,30,
