id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1122715166460939165,Cozy Unit with 3 bedrooms,44949993,Michael,,"Takoma, Brightwood, Manor Park",38.956818,-77.0142592,Entire home/apt,109,3,11,2025-08-22,0.62,10,346,8,Exempt
1122844778148786043,Just Close To Howard University - Unit #2,80099914,Reza,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9274689,-77.0227493,Entire home/apt,,1,4,2025-06-14,0.35,3,365,4,Hosted License: 5007242100000005<br />Unhosted License: 5007262101000101
1124178331632068918,Capitol Hill? More Like Capitol Chill | Parking,569132961,Zachary,,"Union Station, Stanton Park, Kingman Park",38.8979468,-76.9986756,Entire home/apt,116,2,70,2025-09-11,3.99,1,69,49,Hosted License: 5007242201003384
1124615737062749392,Stunning Capitol Hill 3BR charmer - Longterm only,6370470,Allison,,"Capitol Hill, Lincoln Park",38.891666786485985,-76.99686983975737,Entire home/apt,,31,0,,,1,297,0,
1124894512231776171,Lovely relaxing 1BR Apt. NW DC. Free str parking.,469736479,Peter,,"Brightwood Park, Crestwood, Petworth",38.954879181432624,-77.03503697081632,Entire home/apt,149,4,12,2025-07-04,0.69,2,270,6,Hosted License: 5007242201003074
1125459569127959409,Chic Urban Oasis,58494674,Dawn,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.915374141484726,-77.01308850759996,Entire home/apt,,31,1,2024-07-27,0.07,1,139,0,Exempt
1125577076477334440,Darth Vader's Studio Tree House with Free Parking,310255212,Andrew,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92845852611116,-77.10800076375425,Entire home/apt,194,2,77,2025-09-19,4.38,1,237,52,Hosted License: 5007242201003350
1125605276409134822,Private Capitol Hill Charmer,51325093,Jacquelyn Simpson,,"Capitol Hill, Lincoln Park",38.880023815409366,-76.98083617320925,Entire home/apt,82,2,29,2025-09-07,2.26,1,207,27,Hosted License: 5007242201003264
1125637962932714661,Sunny DC Garden Home | Spacious 1BR/1BA | DCottage,121342487,Ivan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91364,-77.01508,Entire home/apt,131,3,56,2025-08-22,3.21,5,232,29,Exempt
1125638144718342083,Family & Group Trips to DC - 4-BR Close to METRO,570116032,Sharon,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9330536,-77.0252567,Entire home/apt,355,3,19,2025-07-05,1.07,1,211,12,Hosted License: 5007242201003640
1125973548607973932,Unlock DC: Sleep Tight & Metro Right,17553676,Vera,,"Union Station, Stanton Park, Kingman Park",38.8982339,-76.99588589999999,Entire home/apt,115,2,57,2025-09-01,3.29,1,61,35,Hosted License: 5007242201003398
1126023766581164040,"Cozy unit, fresh remodel",31859735,Bertha,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90297254515845,-76.98451085113189,Entire home/apt,,2,6,2024-12-12,0.34,1,231,1,Hosted License: 5007242201003413
1126106373957457838,"Luxury & Homey Private Room, DC",570231433,Chuk,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.8988315,-76.91905,Private room,1800,1,5,2024-09-08,0.29,3,362,0,Exempt
1126329157305449484,Gorgeous Glover Park studio,6767145,Anne-Charlotte,,"Cathedral Heights, McLean Gardens, Glover Park",38.92040814823345,-77.07655873149633,Entire home/apt,,3,8,2024-11-18,0.46,2,0,5,Hosted License: 5007262201000991
