id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12072668,Cozy Shipping Container in Cultural Dist,64692830,Allen & Elise,,,32.75473,-97.362,Entire home/apt,107,2,83,2025-07-20,0.72,4,362,7,
13111304,"WalkDickiesA,WillRogers,UNT,30dayrental",48988682,Betsy Anne,,District 7,32.74263,-97.37334,Entire home/apt,76,3,315,2025-09-14,3.21,3,291,41,
13525373,Western  Oasis,74381031,Susan,,District 2,32.78021,-97.38639,Private room,,1,565,2025-08-22,5.06,2,0,4,
13615417,Charming house near TCU Campus.,78828670,Jose Rodrigo,,,32.70287,-97.35567,Private room,750,365,0,,,1,364,0,
13797026,DFW 5-Bed Corporate Rental Perfect for Work Crews,80587770,Brandi,,District 9,32.67434,-97.369,Entire home/apt,167,7,25,2025-08-17,0.26,4,249,4,
13802315,*Pet Friendly * Spacious 3BR Home with King bed,81178026,Heidi,,,32.82675,-97.07273,Entire home/apt,189,30,133,2025-05-30,1.20,1,312,3,
14406499,Kokopelli Cottage,35918727,Faith,,District 7,32.73937,-97.37575,Entire home/apt,151,1,249,2025-08-24,2.26,1,82,28,
14809431,Great Location 13 mins from AT&T & Dickies Arena,71009296,Dr. Dave,,,32.75991,-97.2018,Private room,37,1,99,2025-08-29,0.90,2,178,20,
15099230,4th Street Retreat,47260164,Anna,,,32.75346,-97.37046,Entire home/apt,124,2,373,2025-08-24,3.41,3,46,22,
15422761,Villa De Adeiso 1,98843969,Gordon,,District 7,33.01382064819336,-97.26746368408203,Private room,40,2,53,2025-08-29,0.50,3,350,7,
15460927,Cowtown Cottage: Close to all FW Fun!,29412843,Traci,,,32.729736044939905,-97.39013083345137,Entire home/apt,252,30,193,2025-05-12,1.78,2,337,6,
15700427,Unique Shipping Container - Near W 7th Fort Worth,64692830,Allen & Elise,,,32.75445,-97.36123,Entire home/apt,111,2,76,2025-07-14,0.71,4,349,11,
15718531,Room w/Private Bath- Historic Area -Near Magnolia,2729065,Ayesha,,,32.7243,-97.33664,Private room,62,30,41,2024-08-20,0.38,4,365,0,
15736071,Villa De Adeiso 2,98843969,Gordon,,,33.01336,-97.26829,Private room,51,2,69,2025-03-08,0.64,3,365,4,
15947488,Family-Friendly 3BR w/ Yard | Near Fort Worth Fun,1459858,Flaminia,,District 7,32.7359,-97.39425,Entire home/apt,247,3,281,2025-09-14,2.69,1,90,14,
15986031,Cozy Bungalow in Historic Area,9217448,Barbara,,,32.71245,-97.33272,Entire home/apt,135,2,234,2025-09-14,2.20,1,211,14,
16199912,Quaint flat in downtown Fort Worth!,49028930,Brett,,District 9,32.75344,-97.33919,Entire home/apt,45,30,36,2025-05-17,0.34,8,331,2,
16423642,"Recently Renovated, close to Dickies Arena",26198981,Terry,,District 7,32.73905,-97.3856,Entire home/apt,87,30,159,2025-08-17,1.50,2,303,5,
16427451,Cozy Private Apt/MILS - Walkable. Near Magnolia Av,9951593,Daniel,,,32.72545,-97.33923,Entire home/apt,74,29,56,2025-04-18,0.56,2,257,1,
16430256,Great Location 13 mins from AT&T & Dickies arenas,71009296,Dr. Dave,,,32.75732,-97.20339,Private room,35,1,48,2024-11-09,0.45,2,119,1,
16498223,Double Everything - Sleeps 13,100089637,Jeremy,,District 9,32.71009994282299,-97.32997165398784,Entire home/apt,514,30,1,2023-10-01,0.04,6,219,0,
17218073,University House,29050201,Sharon,,,32.71365,-97.360725,Entire home/apt,131,2,214,2025-08-18,2.06,1,302,22,
17508399,Cozy 3/2 Fort Worth Historic Home-Off Magnolia Ave,2729065,Ayesha,,District 9,32.72422,-97.33637,Entire home/apt,187,3,38,2025-09-15,0.37,4,365,8,
18139987,Treehouse Studio Near Downtown,11405085,Jenn & Patrick,,,32.72364,-97.34164,Entire home/apt,,1,813,2025-06-30,7.97,1,0,7,
18341099,"2 Near DFW airport, Six Flags, & ATT Stadium",36906228,Hector,,District 5,32.81902,-97.09155,Private room,70,28,168,2023-09-17,1.66,2,319,0,
18471517,Historic Carter Riverside Abode,31820891,Lance,,District 4,32.7807,-97.29833,Private room,26,28,1,2022-07-03,0.03,2,365,0,
18557788,Arlington Heights Guest House Cottage,57800656,Gilbert,,District 7,32.73508,-97.38088,Entire home/apt,78,3,412,2025-09-01,4.08,1,63,44,
