id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1308776299933634273,Casa Sapphire-minutes to NYC with free Parking!,666359738,Laharika,,Ward C (councilmember Richard Boggiano),40.7248217,-74.06394689999999,Entire home/apt,231,3,22,2025-09-18,4.10,2,75,22,STR-000345-2025
1308798518195736351,Airy Loft by NYC w Rooftop & Parking on Premises,508414175,Mahdi,,Ward C (councilmember Richard Boggiano),40.73555691527774,-74.05678152929852,Entire home/apt,380,2,30,2025-09-06,3.32,8,304,30,STR-002759-2024
1309416643790704069,"Blueground | Jersey City, EV charging, nr park",107434423,Blueground,,Ward E (councilmember James Solomon),40.7215183,-74.0398348,Entire home/apt,,31,1,2025-05-31,0.25,16,0,1,
1309508993137754567,"Bright Huge room TV 2 beds, desks Wi-Fi mins to NY",1410306,Eugene,,Ward B (councilmember Mira Prinz-Arey),40.72823666576774,-74.07443852007653,Private room,44,28,4,2025-08-01,0.50,30,120,4,
1309794745054483242,Hermoso apartamento en Manhattan,161780791,Diana Carolina,,Ward E (councilmember James Solomon),40.73007042621326,-74.03317015711215,Entire home/apt,182,30,0,,,1,338,0,
1310117846949315264,"Blueground | Jersey City, EV charging, nr park",107434423,Blueground,,Ward E (councilmember James Solomon),40.7219623,-74.04043709999999,Entire home/apt,346,31,0,,,16,269,0,
1310308250315176217,New! 3BR GEM Near NYC | 5min to PATH | Sleeps 9,564280546,Judee,,Ward D (councilmember Michael Yun),40.744235253090366,-74.05880090186277,Entire home/apt,291,2,35,2025-08-31,4.34,3,215,35,STR-006371-2024
1313191847632795336,"""28+ Day Stay: Work & Relax with Ease - Near NYC""",419428314,Josue,,Ward D (councilmember Michael Yun),40.75990640163599,-74.05188380528297,Entire home/apt,,28,0,,,2,34,0,
1313469512347286981,The Great Escape,212065940,Nick,,Ward F (councilmember Jermaine D. Robinson),40.7013542722496,-74.07761731005989,Entire home/apt,146,29,20,2025-08-31,2.23,2,66,20,Exempt
1314635438969695128,"Hotel-Style– No Host, Professionally Managed ID294",28260018,Bp Stays.,,Ward F (councilmember Jermaine D. Robinson),40.714372919393625,-74.07298164546152,Private room,79,3,18,2025-08-03,1.96,59,319,18,STR-001516-2025
1314646346534620105,"Hotel-Style– No Host, Professionally Managed ID267",28260018,Bp Stays.,,Ward F (councilmember Jermaine D. Robinson),40.72059605479419,-74.06873155629441,Private room,63,3,9,2025-09-05,0.99,59,342,9,STR-001817-2025
1314654084272097211,"Hotel-Style– No Host, Professionally Managed ID299",28260018,Bp Stays.,,Ward D (councilmember Michael Yun),40.75322198619165,-74.045739859868,Private room,83,3,14,2025-09-11,1.75,59,333,14,STR-001001-2025
1314686673284239063,"Hotel-Style– No Host, Professionally Managed ID287",28260018,Bp Stays.,,Ward D (councilmember Michael Yun),40.754491046760045,-74.0483465378895,Private room,77,3,7,2025-09-05,0.80,59,338,7,STR-004930-2024
1315250145608383270,Steps to Lincoln Park: Spacious Apt in Jersey City,121680792,Evolve,,Ward B (councilmember Mira Prinz-Arey),40.72281286948038,-74.07827208993376,Entire home/apt,147,30,1,2025-06-30,0.34,8,227,1,
